key,de-DE,R,en-US,R,da-DK,R,fi-FI,R,sv-SE,R,fr-FR,R,it-IT,R,es-ES,R
map.detail.plugin.button|icon,fa-map-o,FALSE,fa-map-o,FALSE,fa-map-o,FALSE,fa-map-o,FALSE,fa-map-o,FALSE,,FALSE,fa-map-o,FALSE,fa-map-o,FALSE
map.detail.plugin.button|tooltip,Kartenansicht,FALSE,Map view,FALSE,Map view,FALSE,Karttanäkymä,FALSE,Kartvy,FALSE,,FALSE,,FALSE,Vista de mapa,FALSE
map.detail.plugin.menu.button|icon,fa-ellipsis-v,FALSE,fa-ellipsis-v,FALSE,fa-ellipsis-v,FALSE,fa-ellipsis-v,FALSE,fa-ellipsis-v,FALSE,,FALSE,fa-ellipsis-v,FALSE,fa-ellipsis-v,FALSE
map.detail.plugin.menu.button|tooltip,Optionen,FALSE,Options,FALSE,Options,FALSE,Asetukset,FALSE,Alternativ,FALSE,,FALSE,Menu,FALSE,Menú,FALSE
map.detail.plugin.menu.language.english.label,Englisch,FALSE,English,FALSE,English,FALSE,Englanti,FALSE,Engelska,FALSE,,FALSE,English,FALSE,English,FALSE
map.detail.plugin.menu.language.label,Sprache,FALSE,Language,FALSE,Language,FALSE,Kieli,FALSE,Språk,FALSE,,FALSE,Language,FALSE,Language,FALSE
map.detail.plugin.menu.language.local.label,Lokal,FALSE,Local,FALSE,Local,FALSE,Paikallinen,FALSE,Lokal,FALSE,,FALSE,Local,FALSE,Local,FALSE
map.detail.plugin.menu.no.options.label,Keine Optionen,FALSE,No options,FALSE,No options,FALSE,Ei asetuksia,FALSE,Inga alternativ,FALSE,,FALSE,No options,FALSE,No options,FALSE
map.detail.plugin.menu.tileset.label,Ansicht,FALSE,View,FALSE,View,FALSE,Näkymä,FALSE,Vy,FALSE,,FALSE,Tileset,FALSE,Tileset,FALSE
map.detail.plugin.menu.tileset.satellite.label,Satellit,FALSE,Satellite,FALSE,Satellite,FALSE,Satelliitti,FALSE,Satellit,FALSE,,FALSE,Satellite,FALSE,Satellite,FALSE
map.detail.plugin.menu.tileset.street.label,Karte,FALSE,Street,FALSE,Street,FALSE,Katunäkymä,FALSE,Gata,FALSE,,FALSE,Street,FALSE,Street,FALSE
server.config.group.system.plugin_easydb-detail-map-plugin.title,Karte,FALSE,Map,FALSE,Map,FALSE,Kartta,FALSE,Karta,FALSE,,FALSE,Map,FALSE,Map,FALSE
server.config.name.system.detail_map,Karten-Einstellungen,FALSE,Map settings,FALSE,Map settings,FALSE,Kartta-asetukset,FALSE,Kartinställningar,FALSE,,FALSE,,FALSE,Mapa,FALSE
server.config.option.system.detail_map.tiles.Mapbox,Mapbox,FALSE,Mapbox,FALSE,Mapbox,FALSE,Mapbox,FALSE,Mapbox,FALSE,,FALSE,Mapbox,FALSE,Mapbox,FALSE
server.config.option.system.detail_map.tiles.OpenStreetMaps,OpenStreetMaps,FALSE,OpenStreetMaps,FALSE,OpenStreetMaps,FALSE,OpenStreetMap,FALSE,OpenStreetMaps,FALSE,,FALSE,OpenStreetMaps,FALSE,OpenStreetMaps,FALSE
server.config.parameter.system.detail_map.enabled.checkbox,Aktiviert,FALSE,Enabled,FALSE,Enabled,FALSE,Käytössä,FALSE,Aktiverad,FALSE,,FALSE,,FALSE,Habilitado,FALSE
server.config.parameter.system.detail_map.enabled.label,Karte im Detail anzeigen,FALSE,Show map in detail,FALSE,Show map in detail,FALSE,Näytä yksityiskohtainen kartta,FALSE,Visa kartan i detaljvy,FALSE,,FALSE,,FALSE,Mostrar mapa en el detalle,FALSE
server.config.parameter.system.detail_map.mapboxToken.label,Mapbox Token,FALSE,Mapbox Token,FALSE,Mapbox Token,FALSE,Mapbox Token,FALSE,Mapbox Token,FALSE,,FALSE,Mapbox Token,FALSE,Mapbox Token,FALSE
server.config.parameter.system.detail_map.tiles.label,Anzeigen mit,FALSE,Display with,FALSE,Display with,FALSE,Näytä,FALSE,Visa med,FALSE,,FALSE,Tiles,FALSE,Tiles,FALSE
type.extension.custom.settings.config.parameter.base.map.show_in_map.checkbox,In Karte anzeigen,FALSE,Show in map,FALSE,Show in map,FALSE,Näytä kartalla,FALSE,Visa på karta,FALSE,,FALSE,Show in map,FALSE,Mostrar en mapa,FALSE
type.extension.custom.settings.config.parameter.base.map.show_in_map.label,Karte,FALSE,Map,FALSE,Map,FALSE,Kartta,FALSE,Karta,FALSE,,FALSE,Map,FALSE,Mapa,FALSE
